SKU,Barcode,Name,Price
413,7801930007403,"Chorizo Parrillero PF 250g ""Chorizo Parrillero PF 6 unidades""",1500
414,6500,"Longaniza 1kg ""Longaniza artesanal""",0
415,21,"Tocino LosValenzuela 200g ""Tocino LosValenzuela""",3500
416,7802900617011,"Margarina pote Soprole 500g ""Margarina pote Soprole""",2800
417,7802900600006,"Margarina envase Soprole 125g ""Margarina envase Soprole""",800
418,7802900605001,"Margarina envase Soprole 250g ""Margarina envase Soprole""",1500
419,7802900120016,"Mantequilla con sal envase Soprole 125g ""Mantequilla con sal Soprole""",1800
420,7802900121013,"Mantequilla con sal envase Soprole 250g ""Mantequilla con sal Soprole""",3200
421,7802900111014,"Mantequilla sin sal envase Soprole 250g ""Mantequilla sin sal Soprole""",2950
422,7802910150508,"Mantequilla con sal envase CALO 125g ""Mantequilla con sal CALO""",1700
423,7804613390748,"Mantequilla con sal envase LaVaquita 250g ""Mantequilla con sal LaVaquita""",2990
424,7798060853348,"Mantequilla con sal envase Tonadita 200g ""Mantequilla con sal Tonadita""",2300
425,7801930018232,"Jamon Colonial PF 200g ""Jamon Colonial PF""",2600
426,7801907001731,"Salame Ahumado SanJorge 100g ""Salame Ahumado SanJorge""",1700
427,7804613393046,"Queso Gauda laminado LaVaquita 130g ""Queso Gauda LaVaquita""",1600
428,7804647570673,"Queso Chanco laminado HUILCO 400G ""Queso Chanco HUILCO""",4700
429,7804647570659,"Queso Gauda laminado HUILCO 400G ""Queso Gauda HUILCO""",4400
430,7802900001186,"Queso Quilque laminado Soprole 150g ""Queso Quilque Soprole""",1990
431,7802900001162,"Queso Gauda laminado Soprole 250g ""Queso Gauda Soprole""",2800
432,7802900004064,"Queso Gauda laminado Soprole 150g ""Queso Gauda Soprole""",1950
433,7804613393084,"Queso Cheddar laminado Kraft 75g ""Queso Cheddar Kraft""",1000
434,7802810006844,"Manteca vegetal Astra 100g ""Manteca vegetal Astra""",1200
435,7804647570956,"Queso crema HUILCO 190g ""Queso crema HUILCO""",1900
436,7622201429447,"Queso crema PHILADELPHIA 150g ""Queso crema PHILADELPHIA""",2400
437,7801930008509,"Pasta jamon Receta del Abuelo 125g ""Pasta jamon Receta del Abuelo""",0
438,7801930008226,"Pasta salame Receta del Abuelo 125g ""Pasta salame Receta del Abuelo""",0
439,7801930008219,"Pate campo Receta del Abuelo 125g ""Pate campo Receta del Abuelo""",800
440,7804613390328,"Queso crema LaVaquita 100g ""Queso crema LaVaquita""",750
441,7613033088766,"Colacion yoghurt cereal Trix Nestlé 142g ""Colacion yoghurt cereal Trix""",700
442,7613033088605,"Colacion yoghurt cereal Milo Nestlé 142g ""Colacion yoghurt cereal Milo""",700
443,7613036927420,"Cappuccino frio Nescafe 330ml ""Cappuccino frio Nescafe""",1200
444,7613036464963,"Yoghurt batido frutilla Nestlé 115g ""Yoghurt batido frutilla Nestlé""",300
445,7613035285408,"Jalea guinda Nestlé 110g ""Jalea guinda Nestlé""",300
446,7802900230241,"Yoghurt Yoguito damasco Soprole 120g ""Yoguito damasco Soprole""",300
447,7613034355454,"Chamyto frutilla Nestlé 80ml  ""Chamyto frutilla Nestlé unidad""",400
448,780162001030,"Agua con jugo Mas mango maracuyá CCU 1600ml ""Agua Mas mango maracuyá CCU""",1600
449,7801620008314,"Agua con jugo Mas limonada jengibre CCU 1600ml ""Agua Mas limonada jengibre CCU""",1600
450,7801620008338,"Agua con jugo Mas piña CCU 1600ml ""Agua Mas piña CCU""",1600
451,7801620006631,"Agua con jugo Mas granada CCU 1600ml ""Agua Mas granada CCU""",1600
452,7801620852955,"Agua mineral Cachantun con gas CCU 1600ml ""Agua Cachantun con gas""",1300
453,7801620852962,"Agua mineral Cachantun sin gas CCU 1600ml ""Agua Cachantun sin gas""",1300
454,7801620005887,"Agua mineral Cachantun con gas CCU 2500ml ""Agua Cachantun con gas""",1500
455,7801620005894,"Agua mineral Cachantun sin gas CCU 2500ml ""Agua Cachantun sin gas""",1500
456,7802820443301,"Agua mineral Benedictino sin gas CCU 3000ml ""Agua Benedictino sin gas""",1500
457,7802820454307,"Agua limonada jengibre Benedictino CCU 2L ""Jugo limonada jengibre Benedictino""",1600
458,7801622000637,"Agua mineral Eden sin gas Eden 2000ml ""Agua mineral Eden sin gas""",1400
459,7501013118056,"Nectar Jumex durazno 335ml ""Nectar Jumex durazno""",1000
460,7501013118063,"Nectar Jumex guayaba 335ml ""Nectar Jumex guayaba""",1000
461,7501013118032,"Nectar Jumex mango 335ml ""Nectar Jumex mango""",1000
462,7501013118193,"Nectar Jumex manzana 335ml ""Nectar Jumex manzana""",1000
463,7501013118018,"Nectar Jumex pera 335ml ""Nectar Jumex pera""",1000
464,22,"Bidon agua mineral 20L ""Bidon agua mineral""",1500
465,23,"Bidon agua mineral Pura Vida Nestlé 6L ""Bidon agua Pura Vida""",2200
466,7802095181168,"Tortillas tacos y fajitas L PanchoVilla 224g ""Tortillas L PanchoVilla""",1500
467,7803403002304,"Tortillas grandota XXL TiaRosa 620g ""Tortillas XXL TiaRosa""",3000
468,7803403000195,"Tortillas burrera XL TiaRosa 400g ""Tortillas XL TiaRosa""",2200
469,7803473002242,"Tortillas fajitas L TiaRosa 320g ""Tortillas L TiaRosa""",1800
470,7802351441203,"Chucrut DonJuan 360g ""Chucrut DonJuan""",1300
471,7802810031075,"Mermelada frutilla Watts 225g ""Mermelada frutilla Watts""",1500
472,7802810011817,"Mermelada membrillo Watts 225g ""Mermelada membrillo Watts""",1500
473,7802810010193,"Mermelada sin azúcar frutilla Watts 200g ""Mermelada sin azúcar frutilla Watts""",1500
474,7802810031082,"Mermelada frambuesa Watts 225g ""Mermelada frambuesa Watts""",1500
475,7802810131218,"Mermelada light damasco Watts 225g ""Mermelada light damasco Watts""",1650
476,7802810007742,"Mermelada sin azúcar arandano mix Watts 200g ""Mermelada sin azúcar arandano mix Watts""",1500
477,7802810031013,"Mermelada damasco Watts 225g ""Mermelada damasco Watts""",1500
478,7802810031044,"Mermelada alcayota Watts 225g ""Mermelada alcayota Watts",0
479,7802810031020,"Mermelada durazno Watts 225g ""Mermelada durazno Watts""",1500
480,7802351131203,"Aceitunas Sevillanas DonJuan 340g ""Aceitunas Sevillanas DonJuan""",2400
481,7802420810275,"Pasas Rubias MarcoPolo 100g ""Pasas Rubias MarcoPolo""",1200
482,7802000015793,"Ramitas original Evercrisp 110g ""Ramitas original Evercrisp""",1600
483,7802000015786,"Ramitas queso Evercrisp 110g ""Ramitas queso Evercrisp""",1600
484,757528044985,"Takis original grande 200g ""Takis original grande""",2000
485,757528044978,"Takis xplosion grande 200g ""Takis xplosion grande""",2000
486,757528039639,"Takis xplosion chico 56g ""Takis xplosion chico""",1000
487,757528039592,"Takis fuego chico 56g ""Takis fuego chico""",1000
488,7803473543189,"Gansito Marinela 50g ""Gansito Marinela""",700
489,7803473003232,"Rayita Marinela 60g ""Rayita Marinela""",700
490,7803403000737,"Alfajor Laguito Lagos del Sur 70g ""Alfajor Laguito Lagos del Sur""",700
491,8445291383630,"Triton vainilla chico McKay 46g ""Triton vainilla chico McKay""",0
492,7803473005960,"Mankeke Marinela 90g ""Mankeke Marinela""",800
493,7803473542182,"Pingüinos Marinela 80g ""Pingüinos Marinela""",1000
494,7802075001097,"Mani salado ElArriero 80g ""Mani salado ElArriero""",1000
495,7802075000007,"Mani salado chico ElArriero 22g ""Mani salado chico ElArriero""",300
496,745853997212,"Mani sabor tocineta ElArriero 100g ""Mani sabor tocineta ElArriero""",1300
497,7802075003022,"Mani crocante ElArriero 70g ""Mani crocante ElArriero""",1000
498,7806500241294,Servileta abolengo 40unidades,300
499,780220036399,Gelatina Frambuesa Ambrosoli 50g,800
500,7802200363984,Gelatina Naranja Ambrosoli 50g,800
501,7802900001278,Queso rallado fino Parmesano 40g,1000
502,8445291263673,Pure de papas Maggi 6porciones 187g,2400
503,7802950006865,"Pure de papas Maggi 4porciones 125g ""Chico""",1500
504,8445290193193,"Leche en polvo chica Nido 130g ""Buen Dia chico""",1600
505,8445290118288,"Leche en polvo grande Nido 700g ""Buen Dia grande""",6500
506,7805000322519,Salsa de tomate Kétchup JB 900g,2800
507,7802351625030,Mayonesa Clasica Don Juan 300g,1800
508,7805000323981,Mayonesa en tarro Hellmann's 780g,3500
509,7800159001148,Mayonesa Deli en bolsa Kraft 170g,1600
510,7805000312329,Mayonesa en Bolsa Hellmann's 670g,0
511,25700712008,Bolsa con cierre hermetico Verde SCJohnson Ziploc 14bolsas,1950
512,7790272007144,Botella de Aceite vegetal LosSilos 900ml,1950
513,7802800535569,Tarrito de papas Kryzpo 37g,1000
514,41789001802,Fideos Instantaneos sabor Gallina Maruchan 64g,1400
515,41789001833,Fideos Instantaneos sabor Queso Maruchan 64g,1400
